"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 22:08:34 GMT 2022","Tue Dec 20 22:08:35 GMT 2022","593","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Tue Dec 20 22:08:36 GMT 2022","Tue Dec 20 22:08:36 GMT 2022","2","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Tue Dec 20 22:08:24 GMT 2022","Tue Dec 20 22:08:30 GMT 2022","6015","","allure.homework.SelenideTest","","allure.homework.SelenideTest","testIssueSearch","Тест на чистый Selenide (с Listener)",""
"passed","Tue Dec 20 22:08:32 GMT 2022","Tue Dec 20 22:08:34 GMT 2022","2063","","allure.homework.StepsTest","","allure.homework.StepsTest","testLambdaStep","Тест на лямбда шаги через step (name, () -> {})",""
"passed","Tue Dec 20 22:08:36 GMT 2022","Tue Dec 20 22:08:40 GMT 2022","3430","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Dec 20 22:08:35 GMT 2022","Tue Dec 20 22:08:36 GMT 2022","1311","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Tue Dec 20 22:08:40 GMT 2022","Tue Dec 20 22:08:42 GMT 2022","2151","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Dec 20 22:08:30 GMT 2022","Tue Dec 20 22:08:32 GMT 2022","2045","","allure.homework.StepsTest","","allure.homework.StepsTest","testAnnotatedStep","Тест на шаги с аннотацией @Step",""
"passed","Tue Dec 20 22:08:42 GMT 2022","Tue Dec 20 22:08:45 GMT 2022","3227","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Dec 20 22:08:36 GMT 2022","Tue Dec 20 22:08:36 GMT 2022","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
